Geo_FIPS,total,poverty,non-poverty
370459510003,513,74,439
370459511001,521,73,448
370459511002,312,158,154
370459511003,439,93,346
370459512001,413,14,399
370459512002,146,0,146
370459512003,445,185,260
370459512004,403,43,360
370459512005,537,37,500
370459512006,314,98,216
370459513001,490,86,404
370459513002,653,88,565
370459514001,531,171,360
370459514002,358,33,325
370459514003,295,32,263
370459514004,582,176,406
370459514005,327,98,229
370459515011,580,16,564
370459515012,684,53,631
370459515013,266,57,209
370459515021,472,32,440
370459515031,334,43,291
370459515032,450,80,370
370459516011,512,48,464
370459516012,184,37,147
370459516013,687,195,492
370459516021,433,115,318
370459516022,655,104,551
370459516023,270,179,91
370459516024,362,33,329
370479301001,405,80,325
370479301002,765,154,611
370479301003,487,65,422
370479302001,846,143,703
370479303001,305,80,225
370479303002,430,62,368
370479303003,232,24,208
370479304001,669,54,615
370479304002,350,93,257
370479304003,409,7,402
370479305001,537,144,393
370479305002,450,58,392
370479305003,211,19,192
370479305004,637,135,502
370479306001,165,78,87
370479306002,181,27,154
370479306003,699,134,565
370479306004,359,46,313
370479307001,231,89,142
370479307002,354,181,173
370479307003,498,77,421
370479307004,413,80,333
370479307005,530,135,395
370479308001,387,9,378
370479308002,483,72,411
370479308003,430,100,330
370479308004,303,100,203
370479309001,422,22,400
370479309002,147,28,119
370479309003,749,335,414
370479309004,386,86,300
370479310001,811,205,606
370479310002,695,116,579
370479310003,577,195,382
370479311001,473,146,327
370479311002,678,161,517
370479311003,305,61,244
370479312011,345,72,273
370479312012,510,162,348
370479312013,212,55,157
370479312014,446,91,355
370479312021,362,88,274
370479312022,308,86,222
370479313011,440,42,398
370479313012,618,154,464
370479313021,341,21,320
370479313022,453,292,161
370479313023,501,69,432
370499601011,558,23,535
370499601012,1061,91,970
370499601021,460,17,443
370499601022,374,87,287
