attraction_taz,attraction_district,observed_trips,emp,pop,raw_estimated_trips,estimated_trips
2220,19,0,218,74,12.76115603540955,17.94405100278595
2221,19,0,1111,412,70.44232198109407,99.05220301954053
2222,19,0,138,790,123.31346308125815,173.3967569019889
2223,19,0,136,293,46.235812242056895,65.01431145615463
2224,19,746.0310238152742,11,458,71.083345197908,99.95357537675973
2225,19,0,590,405,66.28211986199386,93.20235063940416
2226,19,0,217,733,114.94115680085035,161.62407028255433
2227,19,0,32,479,74.46358358610212,104.70668472445713
2228,19,0,653,35,9.280959833052318,13.050386355044187
2229,19,0,361,598,94.85761750928793,133.3836779259158
2230,19,0,73,289,45.24375905534501,63.61933964243814
2231,19,0,157,217,34.57503009036228,48.61754700301401
2232,19,0,278,547,86.45961384677169,121.5748570304084
2233,19,0,361,38,8.02285975322931,11.281313714892224
2234,19,0,150,285,45.07793901757924,63.386172427281736
2235,19,0,460,554,88.61915141235237,124.6114825611743
2236,19,0,34,529,82.228490287878,115.62527873756366
2237,19,0,205,714,111.92415753564583,157.38172824551805
2238,19,266.71591433882713,152,457,71.76041794478219,100.9056386435041
2239,19,0,198,715,112.03790794562006,157.54167795168115
2240,19,0,59,485,75.55330095507092,106.2389866564404
2241,19,457.39222656190395,16,410,63.66987428842248,89.52915146576343
2242,19,0,14,353,54.81953311469585,77.08427790001909
2243,19,0,46,1081,167.89357148875973,236.08290671116347
2244,19,0,1611,1146,187.208712143307,263.24281824813244
2245,19,0,65,693,107.84162097084752,151.64108498904457
2246,19,0,297,871,136.81185533299114,192.37746980516235
2247,19,0,1151,0,6.792816817406967,9.551693521018908
2248,19,0,11,343,53.25120744443167,74.87898272628166
2249,19,0,24,589,91.47319767967385,128.62468886027617
2250,19,0,462,324,52.96667923609894,74.47889446876903
2251,19,0,32,372,57.87194237199805,81.37641156270797
2252,19,0,44,1190,184.78353350700763,259.832662536544
2253,19,0,265,693,109.02195404077054,153.3008058441304
2254,19,0,2890,0,17.055812860387608,23.98296635599014
2255,19,0,26,377,58.61184271700803,82.41681961751097
2256,19,0,144,384,60.393673700213334,84.92233447464938
2257,19,0,68,481,74.98616767353133,105.4415143505548
2258,19,635.9228541404009,113,1393,216.66834810270234,304.6673732580447
2259,19,0,262,410,65.12168396442779,91.57060811751897
2260,19,0,200,1310,204.31164139213158,287.29203713444457
2261,19,0,203,967,151.14305726259454,212.52923486801893
2262,19,557.8810638785362,23,494,76.73639960927858,107.90259632734497
2263,19,0,249,9,2.8650732788479565,4.028711889401872
2264,19,0,144,332,52.33044619429361,73.58425779791149
2265,19,0,100,206,32.53295242379736,45.7460872623123
2266,19,0,18,544,84.45999465360715,118.76310011052348
2267,19,0,170,412,64.88885488710626,91.24321639636173
2268,19,0,226,110,18.390603785381668,25.85987753626947
2269,19,0,1159,44,13.66276110675135,19.21183954323134
2270,19,0,25,573,88.99810626627892,125.1443484870938
2271,19,0,72,1519,235.9642003184813,331.8001624302324
2272,19,0,342,519,82.49558254134412,116.0008494934847
2273,19,0,154,131,21.22198729606158,29.84121668635196
2274,19,497.70055931806564,20,76,11.90275043102883,16.73700722843321
2275,19,0,118,648,101.17661620040812,142.26911389154222
2276,19,0,70,103,16.38450951889098,23.039015716664732
2277,19,0,4,233,36.153068370615706,50.83649952633117
2278,19,0,23,565,87.74580639620744,123.38343178981404
2279,19,0,1611,42,16.020189709934304,22.52672880354307
2280,19,0,293,0,1.7291879474372212,2.4314910527007303
2281,19,0,116,0,0.6845931805553503,0.9626380959497772
2282,13,27.74190866947174,0,27,4.186675820381398,5.887078274460066
2283,13,0,31,0,0.18295162583806776,0.25725673253830256
2284,19,0,4425,49,33.7129104757019,47.40528078723839
2285,19,0,599,667,106.96149651458212,150.40350133375478
2286,13,0,35,172,26.87723388374025,37.79332015731155
2287,19,0,30,601,93.36935248082993,131.2909597190221
2288,19,0,635,1,3.902619564427115,5.487653650988601
2289,19,0,52,389,60.62603082515642,85.24906256176548
2290,13,0,0,0,0,0
2291,19,935.3657073378563,4478,0,26.427657435576368,37.16114994537157
2292,19,0,80,681,106.06940114203336,149.14908482008266
2293,19,0,196,390,61.63093270292252,86.66210151351838
2294,19,0,1231,1380,221.25060308709206,311.1106936687899
2295,19,0,642,126,23.326689649566077,32.8007358923058
2296,19,0,9,174,27.03391471949332,38.013636318332615
2297,19,0,1321,26,11.827713679801397,16.63149458621081
2298,19,0,895,1729,273.3843050597365,384.4183003280444
2299,19,0,783,919,147.12304392913768,206.87650841539437
2300,19,0,18,367,57.01400871999577,80.17003142239639
2301,19,0,92,732,114.04838656472693,160.3687048120346
2302,19,0,145,601,94.04804399603567,132.24529921069646
2303,19,0,4,349,54.14026819151356,76.12913211290034
2304,19,0,44,685,106.47718945913334,149.72249481053166
2305,19,0,236,766,120.17033666740363,168.97706165479426
2306,19,0,118,680,106.13860235789718,149.24639184645784
2307,19,0,200,88,14.825795003017944,20.847235231103813
2308,19,0,210,337,53.495266444475874,75.22216536054538
2309,19,0,50,114,17.972158953535548,25.271482928158402
2310,19,0,21,788,122.31284410051012,171.98974032958148
2311,19,0,440,271,44.61855302506615,62.74020856188058
2312,19,0,491,576,92.21346852146416,129.6656178877171
2313,19,0,490,108,19.638519302836983,27.614629192800525
2314,19,0,113,489,76.49223915363626,107.55927103167801
2315,19,230.60533510148525,472,1436,225.45471486234007,317.0222894448416
2316,19,0,1455,390,69.06112937808793,97.11004429628365
2317,19,0,18,27,4.292905796674469,6.036453151417789
2318,19,289.98250406980515,92,1158,180.1048272863001,253.25371758684895
2319,19,0,105,14,2.79054380561105,3.9239125541956463
2320,19,0,1681,1198,195.6850562236998,275.16179722415035
2321,19,0,110,762,118.80647856366599,167.0592777717257
2322,19,0,408,0,2.4078794626429563,3.3858305443750782
2323,19,0,46,499,77.64744824942738,109.1836639061354
2324,19,0,59,829,128.89465214807836,181.24472467178347
2325,19,0,1946,1,11.639702837772495,16.367123856076166
2326,19,0,171,855,133.5872524201951,187.84320668900048
2327,19,0,128,58,9.74901307519966,13.708537640539511
2328,19,0,874,844,136.03044041933765,191.27868619762486
2329,19,582.0300970077515,19,550,85.39626872348597,120.07963833134559
2330,19,0,537,1055,166.75967542246087,234.4884830720302
2331,19,0,19,402,62.44708274509905,87.8097277898608
2332,19,0,75,994,154.5743199182252,217.35409179522406
2333,19,0,50,827,128.53141302508874,180.73395736112232
2334,19,0,535,15,5.4833219733670715,7.710352328721279
2335,19,0,323,391,62.53550626974517,87.93406419258899
2336,19,440.7597279548645,250,1476,230.34702785158686,323.9015967393409
2337,19,0,8,386,59.90117134750876,84.22980416537327
2338,19,0,52,718,111.64145100684085,156.98420153574185
2339,19,0,201,606,95.15384759272179,133.80022073057606
2340,19,0,143,205,32.631661966409276,45.88488731006464
2341,19,0,324,1379,215.74273054756964,303.3658196548846
2342,19,323.7189844623208,75,625,97.35641703967941,136.89735537760316
2343,19,0,139,905,141.1515025000841,198.4796481567424
2344,19,0,57,1947,302.24224019465333,424.9967760130976
2345,19,0,141,862,134.4956369316574,189.1205281133754
2346,19,0,419,372,60.15588686229909,84.58797141729904
2347,19,309.8501731157303,28,1615,250.5904855155654,352.36685770686034
2348,19,0,66,1523,236.54903859606972,332.6225305489442
2349,19,0,564,648,103.80875894633645,145.9702913983836
2350,19,0,194,706,110.6187426774278,155.5461241097594
2351,19,0,400,1721,269.22248417230475,378.566171722978
2352,19,0,3284,6,20.31144141266515,28.56085605705589
2353,19,0,71,13,2.4348251163026036,3.4237200727399433
2354,19,0,112,1325,206.11822585268845,289.8323589995735
2355,19,0,108,448,70.10518606260533,98.57814063056522
