orig_taz,dest_taz,purpose,attraction_district,attraction_taz,observed_trips,distance,estimated,category
92,3298,IX,10,92,4.042729735374451,62.3022,0.2667393563,Freeway
92,3305,IX,10,92,1.4210752248764038,49.3617,0.6322703082,Freeway
92,3308,IX,10,92,12.168779850006104,39.3747,1.8624040666,Freeway
92,3313,IX,10,92,1.688578486442566,44.05,1.4680805033,Freeway
92,3318,IX,10,92,19.206260323524475,31.7115,0.3972702267,Non-freeway
92,3322,IX,10,92,1.7907752990722656,28.7269,1.067220554,Non-freeway
92,3323,IX,10,92,87.49183708429337,26.9371,24.23691537,Freeway
94,3235,IX,10,94,92.87597012519836,26.7879,0.5489986053,Non-freeway
94,3236,IX,10,94,1.9502381086349487,33.9542,0.21215474353000002,Non-freeway
94,3237,IX,10,94,11.397236824035645,31.8296,0.44590079429999996,Non-freeway
94,3242,IX,10,94,8.066802263259888,36.2748,0.29735337489999997,Non-freeway
94,3243,IX,10,94,12.582149505615234,31.8352,0.2204966994,Non-freeway
94,3245,IX,10,94,57.710514068603516,27.1007,0.63794122435,Non-freeway
94,3252,IX,10,94,108.70486715435982,22.8296,5.136136895,Freeway
94,3257,IX,10,94,2.5878396034240723,34.1309,0.5904089113,Non-freeway
94,3273,IX,10,94,2.2153096199035645,54.2982,0.21686159153,Freeway
94,3275,IX,10,94,2.4354045391082764,57.4864,0.0054162054,Non-freeway
94,3277,IX,10,94,12.486591577529907,56.2857,0.2093686924,Freeway
94,3295,IX,10,94,2.4475927352905273,62.2276,0.055020781549999995,Non-freeway
94,3298,IX,10,94,4.0720168352127075,62.9427,0.13521926354,Freeway
94,3302,IX,10,94,1.8864431381225586,56.4793,0.01775321844,Non-freeway
94,3308,IX,10,94,16.573800325393677,40.0153,0.9414461585,Freeway
94,3313,IX,10,94,2.338823080062866,43.3735,0.8097633223,Freeway
94,3318,IX,10,94,7.175784587860107,31.0351,0.21806472445,Non-freeway
94,3323,IX,10,94,255.09813518822193,26.2607,13.341230965,Freeway
105,3235,IX,16,105,3.7284058332443237,28.3665,0.04700216408,Non-freeway
105,3243,IX,16,105,2.3736202716827393,34.7269,0.01257068083,Non-freeway
105,3245,IX,16,105,7.469027996063232,29.9925,0.03598939381,Non-freeway
105,3252,IX,16,105,9.91910806298256,21.7225,0.5733916665,Freeway
105,3295,IX,16,105,1.452627420425415,60.8027,0.0070634053,Non-freeway
105,3298,IX,16,105,0.5409529209136963,61.5178,0.01707071653,Freeway
105,3308,IX,16,105,34.772093534469604,38.5904,0.11957978122,Freeway
105,3322,IX,16,105,4.181131362915039,29.629,0.04994312546,Non-freeway
105,3323,IX,16,105,43.465853691101074,27.8393,1.1534022468,Freeway
107,3252,IX,16,107,2.438340485095978,21.8448,2.5828465662,Freeway
107,3273,IX,16,107,1.38747239112854,53.3134,0.10786213412000001,Freeway
107,3277,IX,16,107,1.8598238229751587,55.3009,0.10410271247,Freeway
107,3308,IX,16,107,5.0909271240234375,38.4354,0.6021926841999999,Freeway
107,3323,IX,16,107,9.675741255283356,26.7267,6.053665703,Freeway
123,3242,IX,16,123,2.0045668482780457,37.4872,0.1714092098,Non-freeway
123,3252,IX,16,123,10.09101314842701,21.8673,4.652488945,Freeway
123,3277,IX,16,123,1.3559447526931763,55.3234,0.1876780525,Freeway
123,3298,IX,16,123,0.5836614370346069,61.6881,0.13655786338,Freeway
123,3308,IX,16,123,2.322018623352051,38.7607,0.9565236329000001,Freeway
123,3323,IX,16,123,35.106776773929596,26.6232,11.391194919,Freeway
125,3235,IX,16,125,5.525828242301941,26.4132,0.6667986888999999,Non-freeway
125,3242,IX,16,125,2.944153815507889,37.1114,0.24076275090000002,Non-freeway
125,3245,IX,16,125,0.6867958307266235,27.9374,0.51309813379,Non-freeway
125,3252,IX,16,125,53.24316447973251,22.7633,5.129165251,Freeway
125,3273,IX,16,125,1.8915728330612183,54.232,0.21589830265,Freeway
125,3277,IX,16,125,2.7917168140411377,56.2194,0.20841948815,Freeway
125,3295,IX,16,125,4.542409658432007,61.0852,0.07381232319,Non-freeway
125,3298,IX,16,125,4.9046496748924255,61.8003,0.17771314875,Freeway
125,3305,IX,16,125,1.303122639656067,48.8598,0.4213934169,Freeway
125,3308,IX,16,125,7.7500388622283936,38.8729,1.2465474552,Freeway
125,3313,IX,16,125,2.0461878776550293,42.9988,0.9537514606,Freeway
125,3323,IX,16,125,115.30910655856133,25.8859,15.878073024,Freeway
125,3328,IX,16,125,2.861857295036316,27.2261,0.3085714556,Non-freeway
130,3235,IX,16,130,6.020014405250549,25.0159,0.335592232,Non-freeway
130,3237,IX,16,130,5.740164756774902,32.558,0.15943692885,Non-freeway
130,3242,IX,16,130,0.9005001783370972,37.0233,0.10668187617,Non-freeway
130,3243,IX,16,130,13.420367240905762,32.5837,0.07886167232,Non-freeway
130,3245,IX,16,130,1.8504701852798462,27.8493,0.22735802128000002,Non-freeway
130,3252,IX,16,130,49.77813082933426,24.0977,2.003988659,Freeway
