TAZ,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighEarn,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,ParkCostW,ParkCostO,ParkCostU,ADT,PCTCV,PCTAUTOEE,PCTCVEE
579,Internal,0,0,55727,56,28.3,7.9,0,0,0,0,0,906,13,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580,Internal,1070,2097,103304,72,18.4,8.9,0,0,0,2097,79,105,112,4,157,50,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
581,Internal,105,243,103304,72,18.4,8.9,0,0,0,243,43,3,3,0,12,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582,Internal,630,1680,103304,72,18.4,8.9,0,0,0,1680,439,499,288,100,244,46,0,0,0,0,0,0,4,47,0,0,0,0,31,0,0,0,0,0,0,0
583,Internal,6,10,77485,72,9.3,3.6,0,0,0,10,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584,Internal,3,4,103304,72,18.4,8.9,0,0,0,4,564,600,259,0,63,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
585,Internal,0,0,103304,72,18.4,8.9,0,0,0,0,522,1573,69,21,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586,Internal,2,3,103304,72,18.4,8.9,0,0,0,3,1577,980,4,0,11,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,Internal,306,566,77485,72,9.3,3.6,0,0,0,566,139,211,17,158,55,49,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0
588,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,20,898,98,157,27,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,130,109,140,0,21,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,5,80,24,395,59,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,9,5,60,32,243,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
593,Internal,2,3,77485,72,9.3,3.6,0,0,0,3,0,4,63,16,21,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
594,Internal,313,508,77485,72,9.3,3.6,0,0,0,508,0,0,12,0,3,69,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
595,Internal,880,1781,77485,72,9.3,3.6,0,0,0,1781,3,3,17,5,2,36,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
596,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,546,1184,382,58,28,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597,Internal,0,0,77485,72,9.3,3.6,0,0,0,0,21,223,788,90,46,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
598,Internal,0,0,73304,44,0,47.9,0,0,0,0,0,0,22,0,73,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599,Internal,85,129,73304,44,0,47.9,0,0,0,129,5,60,324,7,65,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600,Internal,486,1360,37656,44,34.1,1.2,0,0,0,1360,0,68,106,3,5,42,0,0,0,0,0,0,10,36,0,0,0,0,47,0,0,0,0,0,0,0
601,Internal,76,177,37656,44,34.1,1.2,0,0,0,177,0,113,0,25,7,34,0,0,0,0,0,6,0,0,0,0,0,0,628,0,0,0,0,0,0,0
602,Internal,319,775,37656,44,34.1,1.2,0,3,0,778,15,22,72,43,69,26,0,0,0,0,0,50,11,11,0,0,0,0,0,0,0,0,0,0,0,0
603,Internal,0,0,73304,44,0,47.9,0,0,0,0,6,135,183,3,6,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
604,Internal,328,485,73304,44,0,47.9,0,0,82,567,0,8,318,19,0,30,0,0,0,0,0,12,154,4,0,0,0,0,0,0,0,0,0,0,0,0
605,Internal,196,523,38250,44,22.9,6.4,0,0,0,523,8,83,214,3,5,47,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
606,Internal,0,0,38250,44,22.9,6.4,0,0,0,0,110,66,287,67,68,49,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
