route,access,mode,tod,On,Off,DriveAccessOn,WalkAccessOn,DirectTransferOn,WalkTransferOn,DirectTransferOff,WalkTransferOff,EgressOff,rts_name
183,All,All,Daily,1.09042,1.09042,0,1.09042,0,0,1.09042,0,0,TT OCH IB: Ch Hill Conn
184,All,All,Daily,55.3895,55.3895,0,0,55.3895,0,0,0,55.3895,OPT Hillsborough Circulator
185,All,All,Daily,14.4153,14.4153,4.17534,10.24,0,0,0,4.17534,10.24,CHT HUX OB:HedrickBldg-UNCHosp
186,All,All,Daily,46.5325,46.5326,0,37.3326,8.56899,0.630903,0,0,46.5326,CHT HUX IB:UNCHosp-HedrickBldg
187,All,All,Daily,26.8849,26.885,8.51884,16.0334,0,2.33271,0,0,26.885,CHT HUXmd OB:HedrickBldg-UNCHosp
188,All,All,Daily,19.509,19.509,8.91636,2.85563,5.59195,2.14507,2.14507,1.70667,15.6573,CHT HUXmd IB:UNCHosp-HedrickBldg
189,All,All,Daily,876.384,876.384,7.8015,617.285,251.298,0,755.357,21.5456,99.4816,CAT 7 IB:Extra Headway
190,All,All,Daily,843.38,843.38,7.8015,445.422,329.089,61.067,93.6957,53.5034,696.18,CAT 7-19:ShopsatGarner-WCSS
191,All,All,Daily,500.965,500.965,5.96692,367.159,127.839,0,243.545,9.49416,247.925,CAT 7L EB:RaleighOSC-SouthgateSC
192,All,All,Daily,186.555,186.555,0,55.148,55.3735,76.0338,101.218,0,85.337,TT 405 EB:Chapel Hill-Durham
193,All,All,Daily,776.593,776.594,18.4093,316.696,385.865,55.6235,225.967,3.27635,547.35,DATA 8-10Adev OB:DrmTch-NHopeCmn
194,All,All,Daily,959.985,959.985,4.37223,490.125,430.965,34.5229,305.714,29.5759,624.695,DATA 10Adev-8 IB:NHopeCmn-DrmTch
195,All,All,Daily,661.836,661.836,0.584223,406.677,225.855,28.7196,337.289,0,324.547,DATA 1B-3 OB:Hillndal-Mdlnd
196,All,All,Daily,887.768,887.768,17.411,522.868,328.851,18.6373,348.379,0,539.389,DATA 3-1B IB:Mdlnd-Hillndal
197,All,All,Daily,674.723,674.723,0.584223,372.622,286.96,14.5564,348.159,0,326.564,DATA 1A-3 OB:Hillndal-Mdlnd
198,All,All,Daily,1717.79,1717.79,39.4144,1267.63,366.859,43.8853,765.342,14.1632,938.284,DATA 3-1A IB:Mdlnd-Hillndal
199,All,All,Daily,940.864,940.865,11.682,312.116,524.479,92.5869,303.454,13.9168,623.494,DATA 6-5 IB:Cnstitutn-StrtsSPt
200,All,All,Daily,938.67,938.67,11.682,321.12,513.281,92.5869,311.064,13.9168,613.689,DATA 6B-5 IB:Sparger-StrtsSPt
201,All,All,Daily,207.661,207.661,26.5317,166.345,14.7846,0,115.063,10.9178,81.6809,DATA 7 IB:MLKRxb-Downtown
202,All,All,Daily,199.245,199.245,0,195.048,4.19688,0,136.693,20.333,42.219,DATA 11 IB:Bennett-Downtown
203,All,All,Daily,258.507,258.507,4.096,141.987,105.851,6.57263,178.063,8.30852,72.1358,DATA 14-12 IB:SPT-Downtown
204,All,All,Daily,413.359,413.359,11.682,213.174,165.181,23.3221,123.616,5.101,284.642,DATA 6B-5 IBmd:Sparger-StrtsSPt
205,All,All,Daily,567.23,567.23,6.71669,530.294,30.2193,0,410.229,48.3057,108.696,DATA 10B IB:Pickett-Downtown
206,All,All,Daily,433.449,433.449,37.4375,381.418,11.914,2.67955,321.49,10.8257,101.134,DATA 9B IB:N High-Downtown
207,All,All,Daily,118.831,118.831,1.6022,44.1143,38.814,34.3001,100.112,1.7255,16.993,DATA 12 IB:Extra Headway
208,All,All,Daily,303.353,303.353,5.02004,200.773,96.5161,1.04384,219.287,0,84.0658,DATA 16A IB:MSprng-Downtown
209,All,All,Daily,202.329,202.329,7.20985,191.295,3.82441,0,95.4191,5.56312,101.347,DATA 5K IB
210,All,All,Daily,1252.04,1252.04,29.0881,950.653,244.433,27.8684,660.647,30.9312,560.465,DATA 5-6 OB:StrtsSPt-Cnstitutn
211,All,All,Daily,365.471,365.471,10.4918,89.733,228.515,36.7306,137.507,65.0331,162.93,TT DRX WB:Raleigh-Durham
