"TAZ","access_nearby_sov","access_transit","access_walk","N_sov","N_hov2","N_hov3","N_walkbike","N_t","N_auto_pay","W_sov","W_hov2","W_hov3","W_walkbike","W_t","W_auto_pay"
2577,9.7521,4.29064,1.92828,181.095,163.254,129.448,109.996,18.7095,3.28307,450.33,132.76,95.721,68.8146,31.2839,1.72612
2578,8.66905,1.12213,0.00,170.508,232.42,142.175,0.00,4.96838,2.04431,95.1034,34.6123,26.5062,38.7673,10.6629,0.514353
2579,8.70876,2.42793,1.21629,172.472,203.955,128.86,135.699,5.14102,1.86684,184.806,68.9224,57.4437,63.1561,16.8293,0.988072
2580,8.84754,3.07924,1.0438,125.199,210.939,200.288,63.4175,5.53706,1.86487,262.263,68.1114,35.8886,17.4927,4.95981,0.302177
2581,8.17645,0.111765,1.07618,303.506,333.74,259.107,191.111,5.53746,3.40923,416.606,116.518,78.1963,53.5915,11.018,1.18493
2582,8.45743,1.27241,0.911923,192.11,234.091,145.538,115.379,3.97333,2.1213,139.51,48.4173,41.7582,35.7218,6.96544,0.721828
2583,9.10827,1.44981,1.69311,298.981,337.947,206.43,149.917,7.29096,3.64308,618.884,186.934,163.327,98.7351,28.643,3.49387
2584,8.99526,2.48311,1.33082,134.879,165.554,105.764,82.4135,3.31532,1.0976,96.527,27.9182,23.9386,14.6511,5.28694,0.575002
2585,8.62209,1.87892,1.01908,383.313,494.296,397.959,324.076,11.7856,4.43249,491.045,151.937,92.9676,119.237,35.4584,1.28957
2586,8.50953,0.872547,0.00,173.61,185.551,115.271,0.00,3.57639,1.85167,145.689,49.9851,40.616,44.6538,11.2547,0.7778
2588,8.85802,2.64236,0.796381,28.3182,26.9107,16.7237,25.619,1.10172,0.60128,18.4598,6.86524,5.21991,7.96259,2.74376,0.104591
2589,8.72305,1.53744,0.529361,64.4374,60.8445,38.8104,29.0115,0.912551,1.15728,49.8505,27.6331,25.0248,28.2263,2.67771,0.177598
2590,8.29251,0.00,0.600353,47.2078,59.0614,36.4748,30.8079,0.00,0.597593,30.5759,10.9212,8.44987,11.673,0.00,0.164838
2591,8.32395,0.00,0.99912,94.2857,121.16,75.2298,106.31,0.00,1.02456,50.1716,23.2355,14.3474,43.1576,0.00,0.262376
2592,8.45801,0.00,1.69247,138.115,161.953,100.572,154.989,0.00,1.85307,81.5605,33.6215,21.3227,57.0025,0.00,0.444368
2593,8.01989,0.00,1.31062,174.353,195.783,123.014,170.313,0.00,1.44992,111.034,40.5628,28.4813,54.2296,0.00,0.568163
2594,8.20666,0.00,1.70503,75.3086,96.359,57.189,83.8314,0.00,0.800853,38.5317,16.2443,10.567,26.972,0.00,0.200222
2595,8.72464,0.500598,0.4281,215.185,245.85,159.663,100.153,3.5259,2.89163,337.172,102.365,77.0875,51.7593,6.37036,1.17402
2596,8.52961,2.12648,0.636116,175.356,269.704,249.353,102.943,6.45398,2.39773,326.567,89.2863,48.9476,35.7919,10.2454,0.450078
2597,8.43472,1.64761,0.253285,62.3533,110.8,65.331,34.5909,2.91727,0.902836,33.8598,12.8618,9.92411,14.7212,4.49338,0.181122
2598,9.42788,3.51834,1.31336,195.136,158.673,108.412,127.269,13.7429,2.92083,420.651,121.842,88.159,64.7202,26.7443,1.69314
2599,8.97921,1.85398,0.00,139.218,161.888,100.79,0.00,2.55185,2.10073,155.919,58.4424,52.0916,42.3752,5.16201,0.79542
2600,8.96753,0.550371,1.18424,104.953,69.3315,43.4263,93.0924,2.01054,1.14188,58.4206,23.7801,18.7555,27.5417,6.73214,0.300393
2601,9.11068,2.25473,1.27541,26.8303,27.8297,16.5953,13.7168,0.786656,0.562449,15.1196,6.1578,5.2911,5.65789,1.34768,0.0786645
2602,8.50959,0.575708,1.16811,106.032,161.172,96.6837,63.0723,3.14352,1.03789,49.0092,17.4537,14.4193,15.5242,3.67197,0.264616
2603,8.70153,1.63728,1.49631,180.577,308.296,300.684,96.4038,6.71185,2.56918,335.965,90.0769,48.4657,29.0208,6.91991,0.383844
2604,9.07504,1.25078,1.57262,259.443,296.293,181.053,132.318,5.63885,2.85073,654.804,190.813,166.033,93.8479,27.2757,3.76359
2605,8.95765,0.310177,1.18912,119.795,96.1327,52.5989,93.9717,1.78077,1.50338,100.771,31.5445,25.2485,25.9613,7.18363,0.585124
2606,8.82963,1.36508,0.361745,159.489,182.059,113.599,73.8664,2.94467,2.10031,278.589,84.6635,74.2934,44.3161,9.80196,1.58931
2607,9.67159,3.30924,1.60075,81.0197,83.3928,49.584,23.665,6.5225,2.20088,129.011,43.6879,38.7037,27.5082,11.0128,0.762239
2608,9.54829,4.04363,1.67084,96.8082,99.3273,58.2193,29.2541,9.55879,2.6718,188.697,64.553,57.1882,41.4157,16.479,1.1126
2609,10.0063,4.62744,2.22925,111.363,117.455,58.0828,49.6181,41.1967,1.76078,396.086,112.598,97.5567,52.9502,44.4348,2.576
2610,9.70809,4.4315,1.52322,118.844,117.141,61.8389,45.1683,19.1645,2.2148,267.198,80.479,70.5408,41.4468,23.7719,1.62163
2611,9.53059,3.19158,1.55227,87.5306,72.9396,43.7629,45.0457,6.05941,1.55446,103.665,30.8536,26.8604,16.0198,9.49766,0.642072
2612,9.4674,3.23349,1.31106,75.9846,72.8292,42.3301,26.5186,6.87193,1.76971,147.737,49.5123,43.8375,30.6548,11.4633,0.85803
2613,9.39844,4.38916,1.24257,94.0458,91.7475,63.1138,38.2864,12.463,1.98452,324.941,93.4918,69.6541,38.6602,18.6552,1.27594
2614,9.88712,4.58103,1.74017,128.254,131.976,73.7338,40.9596,25.9899,3.01997,284.372,83.1039,72.7971,39.5735,28.517,1.80702
2615,8.03395,0.00,0.224534,67.6867,66.2386,41.5022,49.3827,0.00,0.822542,50.025,16.7524,14.5021,11.4777,0.00,0.231109
2616,7.6818,0.00,0.00,139.29,120.345,76.7209,0.00,0.00,1.05294,74.959,28.2774,21.6578,32.7402,0.00,0.348058
2617,8.13865,0.00,1.07032,91.9345,133.987,82.2799,71.8106,0.00,1.41917,59.7147,20.4785,15.9212,20.7493,0.00,0.319575
2618,8.03557,0.00,0.00,139.213,127.132,80.5311,0.00,0.00,0.847522,50.5994,15.3065,12.9366,9.59583,0.00,0.247564
2619,7.89732,0.00,0.907252,318.376,297.173,267.136,258.643,0.00,3.01039,419.683,117.28,76.1581,51.701,0.00,0.982196
2620,7.98632,0.00,0.00,72.9934,50.1833,33.0904,0.00,0.00,0.316865,27.4759,8.39249,7.33796,4.53683,0.00,0.131734
2621,7.92631,0.00,0.00,145.023,114.921,74.0315,0.00,0.00,0.769684,59.8276,18.3838,15.6685,11.4546,0.00,0.287753
2622,8.21618,0.00,0.00,350.344,148.918,107.237,0.00,0.00,0.176711,34.3002,9.74513,8.52641,4.2942,0.00,0.166445
2623,8.12251,0.00,0.00,80.4658,41.7898,28.3797,0.00,0.00,0.437617,14.6649,4.95883,4.06739,4.21209,0.00,0.0681894
2624,7.55967,0.00,0.00,22.9567,14.927,9.47194,0.00,0.00,0.331118,17.0057,6.5821,5.06726,7.65475,0.00,0.0757828
2625,8.32791,0.222464,0.21762,33.8386,28.1084,17.28,27.1549,0.708722,0.568091,14.9197,5.4106,3.97846,6.59391,1.882,0.0817651
2626,8.08968,0.00,0.00,15.6937,26.4824,15.7679,0.00,0.00,0.240627,11.9916,3.18471,2.76749,1.15525,0.00,0.0606053
2627,7.95175,0.00,0.574086,183.537,228.196,142.514,137.989,0.00,1.96884,104.76,34.3748,27.6794,29.7473,0.00,0.543076
2628,7.72724,0.00,0.00,76.0792,87.791,53.7271,0.00,0.00,0.914734,43.3712,14.0507,11.8657,10.0774,0.00,0.205354
2629,7.21095,0.00,0.00,23.9405,27.6153,16.4836,0.00,0.00,0.543739,23.9655,9.13107,7.6324,8.48955,0.00,0.104817
