taz,airport_productions,lng,lat,Type,HH,HH_POP,Median_Inc,Pct_Worker,Pct_Child,Pct_Senior,Stud_GQ,Other_NonInst_GQ,Inst_GQ,Total_POP,Industry,Office,Service_RateLow,Service_RateHigh,Retail,PctHighEarn,StudGQ_NCSU,StudGQ_UNC,StudGQ_DUKE,StudGQ_NCCU,StudOff_NCSU,StudOff_UNC,StudOff_DUKE,StudOff_NCCU,BuildingS_NCSU,BuildingS_UNC,BuildingS_DUKE,BuildingS_NCCU,K12,CollegeOn,CollegeOff,TraumaLevel,ParkCostW,ParkCostO,ParkCostU,ADT,PCTCV,PCTAUTOEE,PCTCVEE,dist_to_airport_miles,employment,workers,high_earners,high_earn_distance,observed_productions,estimated_productions
363,5,-78.9139213675099,36.03042439847041,Internal,285,513,47090,44,30.6,8.3,0,0,0,513,11,11,80,4,352,28,0,0,0,0,0,0,43,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.92272,458,225.72,63.201600000000006,1195.9461803520003,5.382186831304592,17.43028066960293
364,0,-78.92086578076446,36.0340501146079,Internal,266,669,47090,44,30.6,8.3,0,0,0,669,22,91,310,37,605,10,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.469324,1065,294.36,29.436000000000003,543.6630212640001,0,22.392518730296054
375,0,-78.98295513261895,36.03412749014159,Internal,101,220,67054,45,11.2,29.2,0,0,0,220,2,21,9,8,29,25,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.588759,69,99,24.75,361.07178525,0,7.996015748595434
376,2,-78.95776478623755,36.0264531129243,Internal,5,7,67054,45,11.2,29.2,0,0,0,7,44,120,22,183,171,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.763212,540,3.15,0.315,5.28041178,2.1528747325218367,11.719178543071651
379,0,-78.96892536740225,36.030998225593386,Internal,1,2,67054,45,11.2,29.2,0,0,0,2,441,87,166,13,6,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.400942,713,0.9,0.513,7.900683246000001,0,14.200189176000253
390,0,-78.89593031829078,36.04636610453034,Internal,381,706,32297,41,34.4,6.9,0,0,123,829,31,511,2022,127,335,37,0,0,0,0,0,0,1,25,0,0,0,0,1589,0,0,0,0,0,0,0,0,0,0,21.43281,3026,289.46,107.10019999999999,2295.458237562,0,57.95533094853515
398,4,-78.92675958091664,36.06615596875887,Internal,210,522,56989,57,17.5,16.3,0,0,208,730,154,55,23,17,99,28,0,0,0,0,0,0,7,14,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,20.562796,348,297.53999999999996,83.3112,1713.1112101151998,4.305749465043673,17.693376646088804
432,3,-78.78274395738575,35.99228824089528,Internal,20,48,40530,46,24.4,16.2,0,0,0,48,0,0,0,0,18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.106922,18,22.080000000000002,5.0784,147.8165926848,3.229312098782755,4.685154591551666
433,0,-78.79365659878385,35.99253613774009,Internal,65,155,40530,46,24.4,16.2,0,0,0,155,12,13,3,0,12,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.023388,40,71.3,38.502,1078.956484776,0,7.834549549826411
436,26,-78.80602901110458,35.98212655021012,Internal,438,1127,85227,53,26,6.2,0,0,0,1127,26,48,61,12,31,17,0,0,0,0,0,0,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.393885,178,597.3100000000001,101.54270000000001,2680.1063463895002,27.987371522783878,15.569672620541025
