sourceTypeID,MOVEStype,hourDayID,hourID,dayID,TOD,avgSpeedBinID,DefaultFraction
11,3,62,6,2,NT,1,0.0127103
11,3,62,6,2,NT,2,0.0193046
11,3,62,6,2,NT,3,0.0159916
11,3,62,6,2,NT,4,0.0193473
11,3,62,6,2,NT,5,0.0238104
11,3,62,6,2,NT,6,0.0299347
11,3,62,6,2,NT,7,0.038997
11,3,62,6,2,NT,8,0.0514371
11,3,62,6,2,NT,9,0.0676557
11,3,62,6,2,NT,10,0.0857711
11,3,62,6,2,NT,11,0.105779
11,3,62,6,2,NT,12,0.137863
11,3,62,6,2,NT,13,0.156337
11,3,62,6,2,NT,14,0.123839
11,3,62,6,2,NT,15,0.0768627
11,3,62,6,2,NT,16,0.034359
11,3,72,7,2,AM,1,0.0124411
11,3,72,7,2,AM,2,0.0185231
11,3,72,7,2,AM,3,0.0146016
11,3,72,7,2,AM,4,0.017364
11,3,72,7,2,AM,5,0.021669
11,3,72,7,2,AM,6,0.027999
11,3,72,7,2,AM,7,0.0374543
11,3,72,7,2,AM,8,0.0510984
11,3,72,7,2,AM,9,0.0682076
11,3,72,7,2,AM,10,0.0866759
11,3,72,7,2,AM,11,0.106201
11,3,72,7,2,AM,12,0.137351
11,3,72,7,2,AM,13,0.15815
11,3,72,7,2,AM,14,0.123124
11,3,72,7,2,AM,15,0.0824188
11,3,72,7,2,AM,16,0.0367219
11,3,82,8,2,AM,1,0.014527
11,3,82,8,2,AM,2,0.0209838
11,3,82,8,2,AM,3,0.0157956
11,3,82,8,2,AM,4,0.0182403
11,3,82,8,2,AM,5,0.0225028
11,3,82,8,2,AM,6,0.0289841
11,3,82,8,2,AM,7,0.0386817
11,3,82,8,2,AM,8,0.0528337
11,3,82,8,2,AM,9,0.0699732
11,3,82,8,2,AM,10,0.0871221
11,3,82,8,2,AM,11,0.104479
11,3,82,8,2,AM,12,0.1336
11,3,82,8,2,AM,13,0.153325
11,3,82,8,2,AM,14,0.116121
11,3,82,8,2,AM,15,0.082808
11,3,82,8,2,AM,16,0.0400223
11,3,92,9,2,MD,1,0.0173023
11,3,92,9,2,MD,2,0.02446
11,3,92,9,2,MD,3,0.0178201
11,3,92,9,2,MD,4,0.0200053
11,3,92,9,2,MD,5,0.0242683
11,3,92,9,2,MD,6,0.0308945
11,3,92,9,2,MD,7,0.0412175
11,3,92,9,2,MD,8,0.0560832
11,3,92,9,2,MD,9,0.0727977
11,3,92,9,2,MD,10,0.0887059
11,3,92,9,2,MD,11,0.103619
11,3,92,9,2,MD,12,0.130159
11,3,92,9,2,MD,13,0.145977
11,3,92,9,2,MD,14,0.109755
11,3,92,9,2,MD,15,0.0792577
11,3,92,9,2,MD,16,0.0376769
11,3,102,10,2,MD,1,0.0195545
11,3,102,10,2,MD,2,0.0280348
11,3,102,10,2,MD,3,0.0198298
11,3,102,10,2,MD,4,0.0215361
11,3,102,10,2,MD,5,0.0256706
11,3,102,10,2,MD,6,0.0326308
11,3,102,10,2,MD,7,0.0434343
11,3,102,10,2,MD,8,0.0587697
11,3,102,10,2,MD,9,0.0753395
11,3,102,10,2,MD,10,0.0900264
11,3,102,10,2,MD,11,0.103737
11,3,102,10,2,MD,12,0.127945
11,3,102,10,2,MD,13,0.13872
11,3,102,10,2,MD,14,0.103948
11,3,102,10,2,MD,15,0.075378
11,3,102,10,2,MD,16,0.0354456
11,3,112,11,2,MD,1,0.0219208
11,3,112,11,2,MD,2,0.031954
11,3,112,11,2,MD,3,0.0219921
11,3,112,11,2,MD,4,0.0228648
11,3,112,11,2,MD,5,0.0267188
11,3,112,11,2,MD,6,0.0337218
11,3,112,11,2,MD,7,0.0446385
11,3,112,11,2,MD,8,0.0600675
11,3,112,11,2,MD,9,0.0762956
11,3,112,11,2,MD,10,0.0901892
11,3,112,11,2,MD,11,0.102822
11,3,112,11,2,MD,12,0.12561
11,3,112,11,2,MD,13,0.133589
11,3,112,11,2,MD,14,0.0998439
11,3,112,11,2,MD,15,0.0729446
11,3,112,11,2,MD,16,0.0348262
11,3,122,12,2,MD,1,0.0233272
11,3,122,12,2,MD,2,0.0353309
11,3,122,12,2,MD,3,0.0238059
11,3,122,12,2,MD,4,0.0239301
11,3,122,12,2,MD,5,0.0275552
11,3,122,12,2,MD,6,0.0345959
11,3,122,12,2,MD,7,0.0457204
11,3,122,12,2,MD,8,0.0611129
11,3,122,12,2,MD,9,0.0770318
11,3,122,12,2,MD,10,0.0901812
11,3,122,12,2,MD,11,0.102045
11,3,122,12,2,MD,12,0.123138
11,3,122,12,2,MD,13,0.129389
11,3,122,12,2,MD,14,0.0965005
11,3,122,12,2,MD,15,0.0711467
11,3,122,12,2,MD,16,0.0351886
11,3,132,13,2,MD,1,0.0249143
11,3,132,13,2,MD,2,0.038431
11,3,132,13,2,MD,3,0.0254417
11,3,132,13,2,MD,4,0.0249991
11,3,132,13,2,MD,5,0.0286216
11,3,132,13,2,MD,6,0.0359401
11,3,132,13,2,MD,7,0.0472931
11,3,132,13,2,MD,8,0.062988
11,3,132,13,2,MD,9,0.0788968
11,3,132,13,2,MD,10,0.0912968
11,3,132,13,2,MD,11,0.101852
11,3,132,13,2,MD,12,0.12036
11,3,132,13,2,MD,13,0.12454
11,3,132,13,2,MD,14,0.0920375
11,3,132,13,2,MD,15,0.0677027
11,3,132,13,2,MD,16,0.0346855
11,3,142,14,2,MD,1,0.0247192
11,3,142,14,2,MD,2,0.0380635
11,3,142,14,2,MD,3,0.025333
11,3,142,14,2,MD,4,0.0250569
11,3,142,14,2,MD,5,0.028836
11,3,142,14,2,MD,6,0.0360965
11,3,142,14,2,MD,7,0.0474934
11,3,142,14,2,MD,8,0.06308
11,3,142,14,2,MD,9,0.0789801
11,3,142,14,2,MD,10,0.0912014
11,3,142,14,2,MD,11,0.101475
11,3,142,14,2,MD,12,0.119608
11,3,142,14,2,MD,13,0.124192
11,3,142,14,2,MD,14,0.0921118
11,3,142,14,2,MD,15,0.068358
11,3,142,14,2,MD,16,0.0353947
11,3,152,15,2,MD,1,0.0241555
11,3,152,15,2,MD,2,0.0370527
11,3,152,15,2,MD,3,0.0249513
11,3,152,15,2,MD,4,0.0249302
11,3,152,15,2,MD,5,0.0287514
11,3,152,15,2,MD,6,0.0360056
11,3,152,15,2,MD,7,0.0473324
11,3,152,15,2,MD,8,0.0629112
11,3,152,15,2,MD,9,0.0785778
11,3,152,15,2,MD,10,0.0908621
11,3,152,15,2,MD,11,0.101246
11,3,152,15,2,MD,12,0.119546
11,3,152,15,2,MD,13,0.124778
11,3,152,15,2,MD,14,0.093065
11,3,152,15,2,MD,15,0.0695643
11,3,152,15,2,MD,16,0.0362713
11,3,162,16,2,PM,1,0.0235528
11,3,162,16,2,PM,2,0.0361788
11,3,162,16,2,PM,3,0.0242791
11,3,162,16,2,PM,4,0.024397
11,3,162,16,2,PM,5,0.0283198
11,3,162,16,2,PM,6,0.0355861
11,3,162,16,2,PM,7,0.0469176
11,3,162,16,2,PM,8,0.0624694
11,3,162,16,2,PM,9,0.0783733
11,3,162,16,2,PM,10,0.0908587
11,3,162,16,2,PM,11,0.101398
11,3,162,16,2,PM,12,0.119778
11,3,162,16,2,PM,13,0.125693
11,3,162,16,2,PM,14,0.0941256
11,3,162,16,2,PM,15,0.0707047
11,3,162,16,2,PM,16,0.0373683
11,3,172,17,2,PM,1,0.0231741
11,3,172,17,2,PM,2,0.0354948
11,3,172,17,2,PM,3,0.0236493
11,3,172,17,2,PM,4,0.0239388
11,3,172,17,2,PM,5,0.027928
11,3,172,17,2,PM,6,0.0352671
11,3,172,17,2,PM,7,0.0466961
11,3,172,17,2,PM,8,0.0624564
11,3,172,17,2,PM,9,0.0786121
11,3,172,17,2,PM,10,0.0914451
11,3,172,17,2,PM,11,0.101986
11,3,172,17,2,PM,12,0.12026
11,3,172,17,2,PM,13,0.126339
11,3,172,17,2,PM,14,0.094207
11,3,172,17,2,PM,15,0.0709942
11,3,172,17,2,PM,16,0.037552
11,3,182,18,2,PM,1,0.0231185
11,3,182,18,2,PM,2,0.0347358
11,3,182,18,2,PM,3,0.0232277
11,3,182,18,2,PM,4,0.023686
11,3,182,18,2,PM,5,0.0280067
11,3,182,18,2,PM,6,0.0356744
11,3,182,18,2,PM,7,0.0474173
